               fitness_breakdown: ordering=0.117s | prefix=0.109s | score=0.010s | pop=100 

[Gen:061/100] Fitness(norm) : (best=100.0000, avg=1.9118, worst=0.0000) | Coverage(best)=90.04% (target=90.00%) | Numb of sensors : (min=24, avg=38.5, max=41) | BestSensors=24 (corner=8)
[Profile Gen 061] fitness=1.757s | selection=0.000s | repro=1.050s (crossover=0.222s, mutation=0.827s) | calls: crossover~100, mutation~70.0
               fitness_breakdown: ordering=0.115s | prefix=0.108s | score=0.010s | pop=100 

[Gen:062/100] Fitness(norm) : (best=100.0000, avg=1.9118, worst=0.0000) | Coverage(best)=90.04% (target=90.00%) | Numb of sensors : (min=24, avg=38.6, max=41) | BestSensors=24 (corner=8)
[Profile Gen 062] fitness=1.758s | selection=0.000s | repro=1.072s (crossover=0.207s, mutation=0.864s) | calls: crossover~100, mutation~70.0
               fitness_breakdown: ordering=0.117s | prefix=0.109s | score=0.009s | pop=100 

[Gen:063/100] Fitness(norm) : (best=100.0000, avg=1.9118, worst=0.0000) | Coverage(best)=90.04% (target=90.00%) | Numb of sensors : (min=24, avg=38.8, max=41) | BestSensors=24 (corner=8)
[Profile Gen 063] fitness=1.765s | selection=0.000s | repro=1.140s (crossover=0.206s, mutation=0.933s) | calls: crossover~100, mutation~70.0
               fitness_breakdown: ordering=0.117s | prefix=0.109s | score=0.010s | pop=100 

[Gen:064/100] Fitness(norm) : (best=100.0000, avg=1.9118, worst=0.0000) | Coverage(best)=90.04% (target=90.00%) | Numb of sensors : (min=24, avg=38.9, max=41) | BestSensors=24 (corner=8)
[Profile Gen 064] fitness=1.777s | selection=0.000s | repro=1.056s (crossover=0.198s, mutation=0.858s) | calls: crossover~100, mutation~70.0
               fitness_breakdown: ordering=0.118s | prefix=0.110s | score=0.010s | pop=100 

[Gen:065/100] Fitness(norm) : (best=100.0000, avg=1.9167, worst=0.0000) | Coverage(best)=90.04% (target=90.00%) | Numb of sensors : (min=24, avg=38.7, max=42) | BestSensors=24 (corner=8)
